"identifier","name","thumbnail","description","mimetype","url","media","agegroup","domain","curriculargoal","competencies","language","category","sourceorg","audience","keywords","status","learningoutcomes","createdon","lastupdatedon"
"do_313124759228243968176","Division - Real Life Scenarios & Common Misconceptions (Kannada)","https://obj.diksha.gov.in/ntp-content-production/content/do_313124759228243968176/artifact/diksha-thumbnail.thumb.png",,"video/mp4","https://obj.diksha.gov.in/ntp-content-production/content/assets/do_313124759228243968176/07-division-real-life-scenarios-and-misconceptions.mp4","[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhya5wf6xlybwdbww6z62ltlfont7xkfe5phurrnnd7zwriq/master.m3u8""}]","6-8",,,,"Kannada","Activities","Akshara Programs1","{Teacher}","{Division - Real life examples, some common misconceptions}","Live",,"NOW()",
"do_313124758006300672163","Place Value of 3 Digit Numbers Using CRA (Kannada)","https://obj.diksha.gov.in/ntp-content-production/content/do_313124758006300672163/artifact/diksha-thumbnail.thumb.png",,"video/mp4","https://obj.diksha.gov.in/ntp-content-production/content/assets/do_313124758006300672163/07-place-value-3-digit-number-using-cra.mp4","[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyavyofhnjm7nraagsp6yc3h3f7xbukybdi77blvqfefaea/master.m3u8""}]","6-8",,,,"Kannada","Activities","Akshara Programs2","{Teacher}","{Place value, 3digit number, CRA method,Activities using TLM}","Live",,"NOW()",
"do_313124757030707200184","Division - Representational Method (Kannada)","https://obj.diksha.gov.in/ntp-content-production/content/do_313124757030707200184/artifact/diksha-thumbnail.thumb.png",,"video/mp4","https://obj.diksha.gov.in/ntp-content-production/content/assets/do_313124757030707200184/06-division-representational-method.mp4","[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhya3excegqnnlxgswojmmp5amzcavpglnn5yydkoognmsfq/master.m3u8""}]","6-8",,,,"Kannada","Activities","Akshara Programs1","{Teacher}","{Division - by representational method, Ones, tens, hundreds}","Live",,"NOW()",
"do_3131247558941491201142","Place Value of 2 Digit Numbers using CRA (Kannada)","https://obj.diksha.gov.in/ntp-content-production/content/do_3131247558941491201142/artifact/diksha-thumbnail.thumb.png",,"video/mp4","https://obj.diksha.gov.in/ntp-content-production/content/assets/do_3131247558941491201142/06-place-value-2-digit-number-using-cra.mp4","[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyapgxqbxz3afkumakawmb6mej4lvvsu6edjd5vgkgm5niq/master.m3u8""}]","6-8",,,,"Kannada","Activities","Akshara Programs2","{Teacher}","{Place value, 2 digit number, CRA method}","Live",,"NOW()",
"do_313124750914207744183","Division - Rules and Facts (Kannada)","https://obj.diksha.gov.in/ntp-content-production/content/do_313124750914207744183/artifact/diksha-thumbnail.thumb.png",,"video/mp4","https://obj.diksha.gov.in/ntp-content-production/content/assets/do_313124750914207744183/05-division-rules-and-facts.mp4","[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyaeahxa6d56xz4w2bepskmy47yxh6wkygzrz4cdp44o6ta/master.m3u8""}]","6-8",,,,"Kannada","Handbooks","Akshara Programs1","{Teacher}","{Division rules and facts}","Live",,"NOW()",
"do_313124747576041472178","Place Value - Teaching the Concept Through a Story (Kannada)","https://obj.diksha.gov.in/ntp-content-production/content/do_313124747576041472178/artifact/diksha-thumbnail.thumb.png",,"video/mp4","https://obj.diksha.gov.in/ntp-content-production/content/assets/do_313124747576041472178/05-place-value-concept-through-a-story.mp4","[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyagqmxxmtgm3rsi4zcdijf2p7ob4svwqhfbrj5bry3fwoa/master.m3u8""}]","6-8",,,,"Kannada","Stories","Akshara Programs2","{Teacher}","{Place value, story}","Live",,"NOW()",
"do_313124744828559360191","Place Value - Grouping by 10s (Kannada)","https://obj.diksha.gov.in/ntp-content-production/content/do_313124744828559360191/artifact/diksha-thumbnail.thumb.png",,"video/mp4","https://obj.diksha.gov.in/ntp-content-production/content/assets/do_313124744828559360191/04-place-value-grouping-by-10s.mp4","[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyay47etom6k5cmmdy4gii3ujkkeehilponio6bjx5rvhwa/master.m3u8""}]","6-8",,,,"Kannada","Activities","Akshara Programs2","{Teacher}","{place value, learning by 10's groups}","Live",,"NOW()",
"do_313124742659391488177","Place Value Using Teaching Learning Materials (Kannada)","https://obj.diksha.gov.in/ntp-content-production/content/do_313124742659391488177/artifact/diksha-thumbnail.thumb.png",,"video/mp4","https://obj.diksha.gov.in/ntp-content-production/content/assets/do_313124742659391488177/03-place-value-using-tlms.mp4","[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyavl5obqxhzuhtyyuqkkcih6rjuerzjm5aaf4coorogxuq/master.m3u8""}]","6-8",,,,"Kannada","Handbooks","Akshara Programs2","{Teacher}","{place valueTLM, Decemel set, Abacus rings,Play money}","Live",,"NOW()",
"do_313124740281819136150","Place Value - Introduction & Framework (Kannada)","https://obj.diksha.gov.in/ntp-content-production/content/do_313124740281819136150/artifact/diksha-thumbnail.thumb.png",,"video/mp4","https://obj.diksha.gov.in/ntp-content-production/content/assets/do_313124740281819136150/02-place-value-introduction-los-framework.mp4","[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyaewussdsnocnhsrnz7irnpeivh5vclf6r37w4vacwe66a/master.m3u8""}]","6-8",,,,"Kannada","Handbooks","Akshara Programs2","{Teacher}","{place value concept, tens group}","Live",,"NOW()",
"do_313124728057364480142","Division of Large Numbers Using Teaching Learning Materials (Kannada)","https://obj.diksha.gov.in/ntp-content-production/content/do_313124728057364480142/artifact/diksha-thumbnail.thumb.png",,"video/mp4","https://obj.diksha.gov.in/ntp-content-production/content/assets/do_313124728057364480142/04-division-of-large-numbers-using-tlms-.mp4","[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyakkw7btxqfnox6rkr6irmaqtl324qfwiekeg7joebaeeq/master.m3u8""}]","6-8",,,,"Kannada","Activities","Akshara Programs1","{Teacher}","{Division of large numbers,using place value, TLM}","Live",,"NOW()",
"do_313124718160420864158","Place Value (Kannada) - Full Concept","https://obj.diksha.gov.in/ntp-content-production/content/do_313124718160420864158/artifact/diksha-thumbnail.thumb.png",,"video/mp4","https://obj.diksha.gov.in/ntp-content-production/content/assets/do_313124718160420864158/01-place-value-full-concept.mp4","[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyatqkyk2idt54ykx5x32uzjfshmfcrzu4gxngkuvofdvlq/master.m3u8""}]","6-8",,,,"Kannada","Activities","Akshara Programs2","{Teacher}","{Full concept of Place value using TLM play money cards, place values - ones tens hundreds}","Live",,"NOW()",
"do_313124687642828800124","Division of Small Numbers Using Teaching Learning Materials (Kannada)","https://obj.diksha.gov.in/ntp-content-production/content/do_313124687642828800124/artifact/diksha-thumbnail.thumb.png",,"video/mp4","https://obj.diksha.gov.in/ntp-content-production/content/assets/do_313124687642828800124/03-division-of-small-numbers-using-tlms-.mp4","[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyadmq66x2bhk4llvfcgtgyhs5nk22jef5kk4cdufb566dq/master.m3u8""}]","6-8",,,,"Kannada","Handbooks","Akshara Programs1","{Teacher}","{Division, using TLM,square couter, Beads}","Live",,"NOW()",
"do_313124686343708672146","Division - Introduction, LOs, Framework (Kannada)","https://obj.diksha.gov.in/ntp-content-production/content/do_313124686343708672146/artifact/diksha-thumbnail.thumb.png",,"video/mp4","https://obj.diksha.gov.in/ntp-content-production/content/assets/do_313124686343708672146/02-division-introduction-los-framework.mp4","[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyaihd2t3isggc4vws7rfmaqgkk2xkadajn7ybwsf2e4epa/master.m3u8""}]","6-8",,,,"Kannada","Handbooks","Akshara Programs1","{Teacher}","{Division, introduction to learn division,concept of division, framework to learn division}","Live",,"NOW()",
"do_313124671827304448128","Division- Full Concept ( Kannada )","https://obj.diksha.gov.in/ntp-content-production/content/do_313124671827304448128/artifact/diksha-thumbnail.thumb.png",,"video/mp4","https://obj.diksha.gov.in/ntp-content-production/content/assets/do_313124671827304448128/01-division-full-concept.mp4","[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyabokvqx6dxgwflqv63mzn6jban3wfxchhzacyob7s2q3q/master.m3u8""}]","6-8",,,,"Kannada","Activities","Akshara Programs1","{Teacher}","{Division according to place value, start with large no, concept of division, TLM to learn division}","Live",,"NOW()",
"do_313124650121502720125","Decimal Numbers - Full Video (Kannada)","https://obj.diksha.gov.in/ntp-content-production/content/do_313124650121502720125/artifact/diksha-thumbnail.thumb.png",,"video/mp4","https://obj.diksha.gov.in/ntp-content-production/content/assets/do_313124650121502720125/01-decimal-numbers-full-concept.mp4","[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhya2lbki2dh7rumhvwriz5o4dvmlmcmikcjj4fbz7jnmluq/master.m3u8""}]","6-8",,,,"Kannada","Handbooks","Akshara Programs1","{Teacher}","{Decimel numbers,Group of ten}","Live",,"NOW()",
"do_313124648593432576136","Decimal Numbers - Common Misconceptions (Kannada)","https://obj.diksha.gov.in/ntp-content-production/content/do_313124648593432576136/artifact/diksha-thumbnail.thumb.png",,"video/mp4","https://obj.diksha.gov.in/ntp-content-production/content/assets/do_313124648593432576136/08-decimal-numbers-cce-misconceptions.mp4","[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhya5iprtfsrt52i3moo436dd3m5tcg3moo3gk4lptyyxqqa/master.m3u8""}]","6-8",,,,"Kannada","Handbooks","Akshara Programs1","{Teacher}","{Decimel number - misconceptions}","Live",,"NOW()",
"do_313124646749880320124","Real-life Applications/Scenarios of Decimal Numbers (Kannada)","https://obj.diksha.gov.in/ntp-content-production/content/do_313124646749880320124/artifact/diksha-thumbnail.thumb.png",,"video/mp4","https://obj.diksha.gov.in/ntp-content-production/content/assets/do_313124646749880320124/07-decimal-numbers-real-life-scenarios.mp4","[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyast464qlqz4mj3xkeofijmv5syryitoyagqvyeiwanxza/master.m3u8""}]","6-8",,,,"Kannada","Handbooks","Akshara Programs1","{Teacher}","{Decimel number - real life experiences}","Live",,"NOW()",
"do_313124641228906496130","Decimal Numbers - Addition and Subtraction (Kannada)","https://obj.diksha.gov.in/ntp-content-production/content/do_313124641228906496130/artifact/diksha-thumbnail.thumb.png",,"video/mp4","https://obj.diksha.gov.in/ntp-content-production/content/assets/do_313124641228906496130/06-decimal-numbers-addition-and-subtraction.mp4","[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyak4whrajqrsxg4xmszopxycpukfxmlzhkem6bnxlcjaea/master.m3u8""}]","6-8",,,,"Kannada","Activities","Akshara Programs1","{Teacher}","{Addition and substraction of Decimel number}","Live",,"NOW()",
